Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
AD,Site 6,JulyAugust,39,Rattlesnake master,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,1,Red clover,0,1,2,0.301029996,25,25,bc
AD,Site 6,JulyAugust,49,Sawtooth sunflower,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,31,Showy ticktrefoil,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,26,St. john's wort,5,5,6,0.77815125,0,0,c
AD,Site 6,JulyAugust,33,Swamp milkweed,0,0,1,0,0,2,c
AD,Site 6,JulyAugust,27,Swamp smartweed,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,50,Tall boneset,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,2,White clover,0,1,2,0.301029996,1,15,bc
AD,Site 6,JulyAugust,44,White heath aster,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,10,White sweet clover,85300,85300,85301,4.930954123,3,3,c
AD,Site 6,JulyAugust,40,White vervain,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,20,Whorled milkweed,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,41,Wild bergamot,136,136,137,2.136720567,0,137,a
AD,Site 6,JulyAugust,4,Wild parsnip,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,24,Yarrow,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,9,Yellow sweet clover,2330,2330,2331,3.367542274,0,0,c
GM,Site 5,JulyAugust,6,Alfalfa,0,0,1,0,0,,
GM,Site 5,JulyAugust,28,Black eyed susan,14.57142857,14.57142857,15.57142857,1.192328458,10,,
GM,Site 5,JulyAugust,29,Brown eyed susan,98.64285714,98.64285714,99.64285714,1.998446172,0,,
GM,Site 5,JulyAugust,19,Bull thistle,0,0.071428571,1.071428571,0.029963223,2,,
GM,Site 5,JulyAugust,15,Butterfly milkweed,0.142857143,0.142857143,1.142857143,0.057991947,3,,
GM,Site 5,JulyAugust,42,Canada lettuce,0.285714286,0.285714286,1.285714286,0.10914447,0,,
GM,Site 5,JulyAugust,16,Canada thistle,10.21428571,10.21428571,11.21428571,1.049771617,0,,
GM,Site 5,JulyAugust,8,Carolina horse nettle,0,0,1,0,0,,
GM,Site 5,JulyAugust,43,Chicory,0,0,1,0,0,,
GM,Site 5,JulyAugust,25,Common evening primrose,0.142857143,0.142857143,1.142857143,0.057991947,0,,
GM,Site 5,JulyAugust,17,Common milkweed,31.14285714,31.14285714,32.14285714,1.507084478,52,,
GM,Site 5,JulyAugust,30,Common selfheal,0,0,1,0,0,,
GM,Site 5,JulyAugust,45,Common sneezeweed,0,0,1,0,0,,
GM,Site 5,JulyAugust,5,Crown vetch,0,0,1,0,0,,
GM,Site 5,JulyAugust,34,Cup plant,0,0,1,0,0,,
GM,Site 5,JulyAugust,11,Dandelion,0,0,1,0,0,,
GM,Site 5,JulyAugust,20,Deptford pink,0,0,1,0,0,,
GM,Site 5,JulyAugust,7,Eastern daisy fleabane,16.35714286,16.35714286,17.35714286,1.239478238,0,,
GM,Site 5,JulyAugust,13,Foxglove beardtounge,0,0,1,0,0,,
GM,Site 5,JulyAugust,46,Frost aster,0,0,1,0,0,,
GM,Site 5,JulyAugust,3,Golden alexander,0,0,1,0,0,,
GM,Site 5,JulyAugust,47,Goldenrod,0,0,1,0,0,,
GM,Site 5,JulyAugust,35,Greyheaded coneflower,86.5,86.5,87.5,1.942008053,2,,
GM,Site 5,JulyAugust,12,Hairy ruellia,0,0,1,0,0,,
GM,Site 5,JulyAugust,21,Hoary vervain,0,0.071428571,1.071428571,0.029963223,1,,
GM,Site 5,JulyAugust,36,Ironweed,0,0,1,0,0,,
GM,Site 5,JulyAugust,43,Jersulem artichoke,0,0,1,0,0,,
GM,Site 5,JulyAugust,22,Morning glory,0,0,1,0,0,,
GM,Site 5,JulyAugust,32,Mountain mint,1.5,1.5,2.5,0.397940009,0,,
GM,Site 5,JulyAugust,48,New england aster,0,0,1,0,0,,
GM,Site 5,JulyAugust,23,Oxeye sunflower,8.714285714,8.714285714,9.714285714,0.987410873,8,,
GM,Site 5,JulyAugust,14,Pale purple coneflower,0.714285714,0.714285714,1.714285714,0.234083206,1,,
GM,Site 5,JulyAugust,37,Partridge pea,0,0,1,0,0,,
GM,Site 5,JulyAugust,38,Purple prairie clover,0,0,1,0,0,,
GM,Site 5,JulyAugust,18,Queen anne's lace,7.5,7.5,8.5,0.929418926,0,,
GM,Site 5,JulyAugust,39,Rattlesnake master,0,0,1,0,0,,
GM,Site 5,JulyAugust,1,Red clover,0.071428571,0.071428571,1.071428571,0.029963223,0,,
GM,Site 5,JulyAugust,49,Sawtooth sunflower,0,0,1,0,0,,
GM,Site 5,JulyAugust,31,Showy ticktrefoil,0,0,1,0,0,,
GM,Site 5,JulyAugust,26,St. john's wort,0,0,1,0,0,,
GM,Site 5,JulyAugust,33,Swamp milkweed,0.214285714,0.214285714,1.214285714,0.084320886,2,,
GM,Site 5,JulyAugust,27,Swamp smartweed,8.857142857,8.857142857,9.857142857,0.993751051,0,,
GM,Site 5,JulyAugust,50,Tall boneset,0,0,1,0,0,,
GM,Site 5,JulyAugust,2,White clover,0,0.071428571,1.071428571,0.029963223,14,,
GM,Site 5,JulyAugust,44,White heath aster,0,0,1,0,0,,
GM,Site 5,JulyAugust,10,White sweet clover,4.357142857,4.357142857,5.357142857,0.728933228,0,,
GM,Site 5,JulyAugust,40,White vervain,0,0,1,0,0,,
GM,Site 5,JulyAugust,20,Whorled milkweed,0.071428571,0.071428571,1.071428571,0.029963223,1,,
GM,Site 5,JulyAugust,41,Wild bergamot,287,287,288,2.459392488,88,,
GM,Site 5,JulyAugust,4,Wild parsnip,16.28571429,16.28571429,17.28571429,1.23768733,0,,
GM,Site 5,JulyAugust,24,Yarrow,0,0.071428571,1.071428571,0.029963223,1,,
GM,Site 5,JulyAugust,9,Yellow sweet clover,0,0,1,0,0,,
