Site,Site2,Month,Date,Color,Blooms,Count,colorabun,colorabun1,logcolorabun1
Uthe,Site 4,JulyAugust,8/22/2020,Orange,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/22/2020,Pink,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/22/2020,Purple,32,9,0.28125,1.28125,0.107633878
Uthe,Site 4,JulyAugust,8/22/2020,White,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/22/2020,Yellow,753.5,0,0,1,0
Uthe,Site 4,JulyAugust,8/29/2020,Orange,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/29/2020,Pink,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/29/2020,Purple,32,19,0.59375,1.59375,0.202420198
Uthe,Site 4,JulyAugust,8/29/2020,White,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/29/2020,Yellow,753.5,0,0,1,0
